Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset,Target ID
,,,50342240.7,,,,,,,,,,,,,,,,109266,408,78
2,4,2155,50342349,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342359,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342369,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342379,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342389,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342399,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342409,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342409,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50342409,374006389,-1221728850,14768,17998,617,541,327,431,296,-270137078,-429420951,385289912,0,0,0,,,
,,,50342413.1,,,,,,,,,,,,,,,,22761,1320,74
,,,50342594.6,,,,,,,,,,,,,,,,220025,1048216,76
,,,50342768.19,,,,,,,,,,,,,,,,191465,1144,77
,,,50342941.73,,,,,,,,,,,,,,,,109187,392,78
2,4,2155,50343049,374006389,-1221728850,14768,17998,619,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343059,374006389,-1221728850,14768,17998,619,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343069,374006389,-1221728850,14768,17998,619,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343079,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343089,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343099,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
2,4,2155,50343109,374006389,-1221728850,14768,17998,620,543,329,432,297,-270137078,-429420951,385289912,0,0,0,,,
,,,50343114.18,,,,,,,,,,,,,,,,22748,1320,74
,,,50343295.78,,,,,,,,,,,,,,,,219998,1048216,76
,,,50343469.16,,,,,,,,,,,,,,,,191414,1192,77
,,,50343642.86,,,,,,,,,,,,,,,,109216,392,78
,,,50343815.27,,,,,,,,,,,,,,,,22748,1304,74
,,,50343996.47,,,,,,,,,,,,,,,,219954,1048184,76
,,,50344168.79,,,,,,,,,,,,,,,,191515,1176,77
,,,50344344.76,,,,,,,,,,,,,,,,109278,408,78
,,,50344517.02,,,,,,,,,,,,,,,,22749,1320,74
,,,50344698.13,,,,,,,,,,,,,,,,219978,1048184,76
,,,50344870.57,,,,,,,,,,,,,,,,191491,1176,77
,,,50345044.04,,,,,,,,,,,,,,,,109282,392,78
2,6,2155,50345149,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345159,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345169,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345179,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345189,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345199,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345209,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345209,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345209,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
,,,50345217.61,,,,,,,,,,,,,,,,22783,1320,74
,,,50345399.11,,,,,,,,,,,,,,,,220017,1048184,76
,,,50345571.43,,,,,,,,,,,,,,,,191383,1192,77
,,,50345745.02,,,,,,,,,,,,,,,,109261,392,78
2,6,2155,50345849,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345859,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345869,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345879,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345889,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345899,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345909,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345909,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50345909,374005922,-1221728997,13618,16848,355,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
,,,50345917.33,,,,,,,,,,,,,,,,22774,1320,74
,,,50346098.83,,,,,,,,,,,,,,,,219997,1048136,76
,,,50346271.17,,,,,,,,,,,,,,,,191447,1192,77
,,,50346444.75,,,,,,,,,,,,,,,,109230,392,78
2,6,2155,50346549,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346559,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346569,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346579,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346589,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346599,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
2,6,2155,50346609,374005922,-1221728997,13618,16848,356,309,165,261,176,-270136869,-429420375,385288801,0,0,0,,,
,,,50346617.04,,,,,,,,,,,,,,,,22715,1320,74
,,,50346798.06,,,,,,,,,,,,,,,,220013,1048152,76
,,,50346970.48,,,,,,,,,,,,,,,,191440,1176,77
,,,50347143.97,,,,,,,,,,,,,,,,109246,408,78
,,,50347316.27,,,,,,,,,,,,,,,,22782,1320,74
,,,50347497.37,,,,,,,,,,,,,,,,219943,1048136,76
,,,50347671.08,,,,,,,,,,,,,,,,191449,1160,77
,,,50347844.57,,,,,,,,,,,,,,,,109227,392,78
,,,50348016.77,,,,,,,,,,,,,,,,22740,1320,74
,,,50348198.24,,,,,,,,,,,,,,,,219929,1048120,76
,,,50348371.78,,,,,,,,,,,,,,,,191467,1176,77
,,,50348545.35,,,,,,,,,,,,,,,,109183,424,78
,,,50348717.76,,,,,,,,,,,,,,,,22725,1336,74
,,,50348898.28,,,,,,,,,,,,,,,,219977,1048168,76
,,,50349070.7,,,,,,,,,,,,,,,,191387,1144,77
,,,50349245.36,,,,,,,,,,,,,,,,109260,408,78
,,,50349417.74,,,,,,,,,,,,,,,,22792,1320,74
,,,50349598.95,,,,,,,,,,,,,,,,219965,1048200,76
,,,50349771.4,,,,,,,,,,,,,,,,191406,1176,77
,,,50349944.86,,,,,,,,,,,,,,,,109345,408,78
2,8,2155,50350049,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350059,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350069,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350079,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350089,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350099,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350109,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350109,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
,,,50350117.17,,,,,,,,,,,,,,,,22788,1320,74
,,,50350298.18,,,,,,,,,,,,,,,,219922,1048264,76
,,,50350470.51,,,,,,,,,,,,,,,,191469,1208,77
,,,50350644.08,,,,,,,,,,,,,,,,109288,440,78
2,8,2155,50350749,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350759,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350769,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350779,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350789,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350799,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350809,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50350809,374005296,-1221729244,12615,15845,226,200,106,170,104,-270136855,-429419941,385287641,0,0,0,,,
,,,50350816.42,,,,,,,,,,,,,,,,22737,1320,74
,,,50350999.19,,,,,,,,,,,,,,,,220010,1048264,76
,,,50351171.59,,,,,,,,,,,,,,,,191426,1192,77
,,,50351345.21,,,,,,,,,,,,,,,,109229,424,78
2,8,2155,50351449,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351459,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351469,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351479,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351489,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351499,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351509,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50351509,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
,,,50351517.56,,,,,,,,,,,,,,,,22765,1320,74
,,,50351698.47,,,,,,,,,,,,,,,,219981,1048296,76
,,,50351870.8,,,,,,,,,,,,,,,,191429,1224,77
,,,50352044.35,,,,,,,,,,,,,,,,109311,424,78
2,8,2155,50352149,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352159,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352169,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352179,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352189,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352199,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352209,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352209,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
,,,50352215.53,,,,,,,,,,,,,,,,22772,1320,74
,,,50352397.01,,,,,,,,,,,,,,,,219963,1048296,76
,,,50352570.63,,,,,,,,,,,,,,,,191401,1224,77
,,,50352744.26,,,,,,,,,,,,,,,,109311,392,78
2,8,2155,50352849,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352859,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352869,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352879,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352889,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352899,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352909,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
2,8,2155,50352909,374005296,-1221729244,12615,15845,225,200,106,169,104,-270136855,-429419941,385287641,0,0,0,,,
,,,50352916.7,,,,,,,,,,,,,,,,22747,1320,74
,,,50353097.69,,,,,,,,,,,,,,,,219974,1048296,76
,,,50353269.99,,,,,,,,,,,,,,,,191445,1256,77
,,,50353442.44,,,,,,,,,,,,,,,,109288,424,78
2,9,2155,50353549,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353559,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353569,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353579,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353589,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353599,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353609,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50353609,374005045,-1221729333,12795,16025,215,188,93,164,103,-270137087,-429420163,385287529,0,0,0,,,
,,,50353614.84,,,,,,,,,,,,,,,,22761,1288,74
,,,50353797.37,,,,,,,,,,,,,,,,220055,1048232,76
,,,50353968.57,,,,,,,,,,,,,,,,191351,1240,77
,,,50354142.22,,,,,,,,,,,,,,,,109271,392,78
2,9,2155,50354249,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354259,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354269,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354279,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354289,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354299,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354309,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354309,374005045,-1221729333,12795,16025,214,188,93,163,103,-270137087,-429420163,385287529,0,0,0,,,
,,,50354315.93,,,,,,,,,,,,,,,,22789,1304,74
,,,50354495.74,,,,,,,,,,,,,,,,220034,1048248,76
,,,50354668.09,,,,,,,,,,,,,,,,191503,1240,77
,,,50354840.44,,,,,,,,,,,,,,,,109245,408,78
2,9,2155,50354949,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354959,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354969,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354979,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354989,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50354999,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50355009,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
2,9,2155,50355009,374005045,-1221729333,12795,16025,243,211,101,185,120,-270137087,-429420163,385287529,0,0,0,,,
,,,50355014.05,,,,,,,,,,,,,,,,22751,1320,74
